Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.352,-114.046,180.0,bottom
C1,143.383,-116.586,0.0,top
C10,145.796,-110.871,180.0,top
C11,150.876,-116.205,0.0,top
C13,146.807423,-101.981,270.0,top
C15,155.194,-118.11,90.0,top
C2,145.796,-109.855,180.0,top
C3,143.383,-111.506,0.0,top
C4,143.891,-110.081,270.0,top
C5,149.982423,-102.616,90.0,top
C6,152.908,-110.109,0.0,top
C7,146.177,-114.808,270.0,top
C8,152.908,-109.093,0.0,top
C9,145.796,-108.839,180.0,top
D1,143.256,-122.682,90.0,top
D2,155.448,-122.555,90.0,top
J1,149.352,-121.92,0.0,top
J2,155.194,-101.6,0.0,top
Q2,143.637,-105.791,180.0,top
Q3,143.637,-103.124,180.0,top
R1,143.383,-108.557,0.0,top
R10,155.194,-120.142,270.0,top
R11,143.51,-120.269,270.0,top
R12,143.51,-107.569,180.0,top
R13,145.8374,-106.553,90.0,top
R14,153.162,-105.789,90.0,top
R2,142.875,-110.081,270.0,top
R3,145.8374,-104.648,270.0,top
R4,146.177,-112.903,270.0,top
R5,148.971,-115.189,180.0,top
R6,148.971,-116.205,0.0,top
R7,153.67,-117.602,0.0,top
R8,148.082,-117.602,0.0,top
R9,145.8374,-102.743,270.0,top
SW2,153.67,-112.981,270.0,top
U1,148.336,-113.411,0.0,top
U2,152.010423,-102.65,0.0,top
U3,148.331423,-102.616,90.0,top
U4,149.352,-108.839,0.0,top
U5,150.749,-114.808,90.0,top
U6,143.83,-114.0405,90.0,top
