Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Lipo 401010,1,1s_Lipo,
"C1, C10, C11, C15, C3",0402,5,1u,
"C13, C2, C4, C5, C8, C9",0402,6,100n,
"C6, C7",0402,2,4u7,
D1,0603,1,AMBER LED,
D2,0603,1,LED,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J2,PinHeader_1x05_P1.27mm_Vertical,1,Conn_01x05_Pin,
Q2,SOT-323_SC-70,1,DMN3607LW,
Q3,SOT-323_SC-70,1,Q_NMOS_GDS,
"R1, R12, R13, R2, R4, R9",0402,6,33k3,
"R10, R11, R3, R6",0402,4,1k,
R5,0402,1,1R,
"R7, R8",0402,2,5k1,
SW2,SW_SPST_B3U-1000P,1,SW_Push,
U1,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,WS4518,
U2,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U3,Winbond_USON_8_EP_2x3mm,1,W25Q16JVUXIQ,
U4,QFN-28_4x4mm_P0.5mm,1,STM32F042G6Ux,
U5,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,1,XB6042,
U6,SOT-23-5,1,TLV75533PDBV,
